Wall time,Step,Value
1706300863.3298216,1,0.9901446104049683
1706300863.4559937,2,0.8412014245986938
1706300863.5186152,3,0.7130142450332642
1706300863.5808966,4,0.6072380542755127
1706300863.643926,5,0.5213982462882996
1706300863.705914,6,0.4519372582435608
1706300863.7677252,7,0.39548856019973755
1706300863.8297014,8,0.34925681352615356
1706300863.8926337,9,0.31104061007499695
1706300863.95533,10,0.27914291620254517
1706300864.018583,11,0.2522636651992798
1706300864.1416233,12,0.22940537333488464
1706300864.2048097,13,0.20979875326156616
1706300864.2667649,14,0.19284594058990479
1706300864.329665,15,0.17807845771312714
1706300864.3934813,16,0.16512593626976013
1706300864.4572606,17,0.1536930650472641
1706300864.5227227,18,0.1435423493385315
1706300864.584753,19,0.13448116183280945
1706300864.6475234,20,0.12635210156440735
1706300864.7101972,21,0.11902551352977753
1706300864.8350003,22,0.11239391565322876
1706300864.8961186,23,0.10636753588914871
1706300864.9594443,24,0.10087092965841293
1706300865.0218973,25,0.09584034234285355
1706300865.0834692,26,0.09122154861688614
1706300865.1471634,27,0.08696820586919785
1706300865.2086031,28,0.08304048329591751
1706300865.271659,29,0.07940400391817093
1706300865.3349466,30,0.07602894306182861
1706300865.3970506,31,0.07288932055234909
1706300865.520896,32,0.06996241956949234
1706300865.5827198,33,0.0672282874584198
1706300865.6445553,34,0.06466933339834213
1706300865.709246,35,0.06227000430226326
1706300865.7709386,36,0.06001649051904678
1706300865.8333123,37,0.057896506041288376
1706300865.8958604,38,0.05589907988905907
1706300865.9583058,39,0.05401437729597092
1706300866.0212507,40,0.05223357677459717
1706300866.0849733,41,0.0505487285554409
1706300866.208513,42,0.04895266145467758
1706300866.2709875,43,0.047438886016607285
1706300866.3333027,44,0.04600151628255844
1706300866.3963132,45,0.04463520646095276
1706300866.4582052,46,0.04333508014678955
1706300866.5208914,47,0.04209669679403305
1706300866.5873055,48,0.04091598838567734
1706300866.649836,49,0.03978923335671425
1706300866.713738,50,0.038713015615940094
1706300866.7772799,51,0.03768419474363327
1706300866.8998044,52,0.03669987991452217
1706300866.9624588,53,0.035757407546043396
1706300867.0242708,54,0.03485431149601936
1706300867.0874493,55,0.03398831561207771
1706300867.1492748,56,0.033157311379909515
1706300867.2133152,57,0.032359346747398376
1706300867.2773051,58,0.03159260004758835
1706300867.3394895,59,0.030855385586619377
1706300867.4035547,60,0.030146131291985512
1706300867.4656622,61,0.029463371261954308
1706300867.5909863,62,0.02880573831498623
1706300867.6544266,63,0.028171956539154053
1706300867.7188673,64,0.027560831978917122
1706300867.782065,65,0.026971247047185898
1706300867.8445797,66,0.026402153074741364
1706300867.907397,67,0.025852568447589874
1706300867.9731383,68,0.02532157115638256
1706300868.040367,69,0.02480829507112503
1706300868.1030858,70,0.02431192621588707
1706300868.1643314,71,0.023831697180867195
1706300868.2880325,72,0.023366883397102356
1706300868.3500473,73,0.022916806861758232
1706300868.4118729,74,0.02248082309961319
1706300868.4758198,75,0.02205832488834858
1706300868.539076,76,0.021648740395903587
1706300868.6007392,77,0.021251525729894638
1706300868.6659276,78,0.020866166800260544
1706300868.7274683,79,0.020492179319262505
1706300868.792528,80,0.02012910321354866
1706300868.8549426,81,0.01977650076150894
1706300868.9786336,82,0.01943395659327507
1706300869.0414133,83,0.019101077690720558
1706300869.1044364,84,0.01877748966217041
1706300869.1672373,85,0.018462838605046272
1706300869.2299356,86,0.018156787380576134
1706300869.2918031,87,0.01785901002585888
1706300869.3538656,88,0.017569204792380333
1706300869.4166396,89,0.017287077382206917
1706300869.4795687,90,0.017012350261211395
1706300869.5415003,91,0.016744758933782578
1706300869.6650767,92,0.01648404821753502
1706300869.728464,93,0.01622997783124447
1706300869.7983232,94,0.015982316806912422
1706300869.8603797,95,0.01574084348976612
1706300869.9253125,96,0.015505348332226276
1706300869.9879735,97,0.015275628305971622
1706300870.0501916,98,0.015051491558551788
1706300870.1127355,99,0.014832752756774426
1706300870.1753352,100,0.014619234949350357
1706300870.2376442,101,0.014410767704248428
1706300870.3618758,102,0.014207189902663231
1706300870.4247038,103,0.014008344151079655
1706300870.486922,104,0.013814081437885761
1706300870.5493739,105,0.013624259270727634
1706300870.6118338,106,0.013438737951219082
1706300870.6731844,107,0.013257386162877083
1706300870.7364485,108,0.01308007724583149
1706300870.7990258,109,0.012906688265502453
1706300870.861562,110,0.012737101875245571
1706300870.923504,111,0.012571204453706741
1706300871.0466719,112,0.012408887967467308
1706300871.1086388,113,0.012250048108398914
1706300871.1725028,114,0.012094583362340927
1706300871.2346928,115,0.011942396871745586
1706300871.2968464,116,0.01179339550435543
1706300871.358902,117,0.011647487990558147
1706300871.421347,118,0.011504589579999447
1706300871.4843576,119,0.011364614591002464
1706300871.5467963,120,0.011227482929825783
1706300871.6149151,121,0.011093116365373135
1706300871.7386153,122,0.01096144039183855
1706300871.8043606,123,0.010832381434738636
1706300871.8667798,124,0.010705869644880295
1706300871.929616,125,0.010581837967038155
1706300871.9919848,126,0.010460220277309418
1706300872.055447,127,0.01034095324575901
1706300872.1176758,128,0.010223976336419582
1706300872.1795287,129,0.010109229944646358
1706300872.2423587,130,0.009996656328439713
1706300872.304636,131,0.009886201471090317
1706300872.4275727,132,0.009777810424566269
1706300872.4908838,133,0.009671431966125965
1706300872.5539122,134,0.009567015804350376
1706300872.6167777,135,0.009464513510465622
1706300872.6788874,136,0.009363878518342972
1706300872.7432299,137,0.00926506333053112
1706300872.8048093,138,0.00916802603751421
1706300872.867371,139,0.009072722867131233
1706300872.9311507,140,0.008979110978543758
1706300872.9931853,141,0.008887152187526226
1706300873.1173608,142,0.008796806447207928
1706300873.1838982,143,0.008708035573363304
1706300873.2474685,144,0.008620803244411945
1706300873.3094842,145,0.008535073138773441
1706300873.372849,146,0.008450811728835106
1706300873.438269,147,0.008367983624339104
